song_name,song_id,theme_id,lyric,characters
Prologue: Work Song,1,1,"Aaah, aah, aaaahhhh",Prisoners
Prologue: Work Song,1,1,"Aaah, aah, aaaahhhh",Prisoners
Prologue: Work Song,1,1,"Aaah, aah, aaaahhhh",Prisoners
Prologue: Work Song,1,1,"Aaah, aah, aaaahhhh",Prisoners
Prologue: Work Song,1,1,"Look down, look down",Prisoners
Prologue: Work Song,1,1,Don't look 'em in the eye,Prisoners
Prologue: Work Song,1,1,"Look down, look down",Prisoners
Prologue: Work Song,1,1,You're here until you die,Prisoners
Prologue: Work Song,1,1,The sun is strong,Prisoner 1
Prologue: Work Song,1,1,It's hot as Hell below,Prisoner 1
Prologue: Work Song,1,1,"Look down, look down",Prisoners
Prologue: Work Song,1,1,There's twenty years to go,Prisoners
Prologue: Work Song,1,1,I've done no wrong,Prisoner 2
Prologue: Work Song,1,1,"Sweet Jesus, hear my prayer",Prisoner 2
Prologue: Work Song,1,1,"Look down, look down",Prisoners
Prologue: Work Song,1,1,Sweet Jesus doesn't care,Prisoners
Prologue: Work Song,1,1,I know she'll wait,Prisoner 3
Prologue: Work Song,1,1,I know that she'll be true,Prisoner 3
Prologue: Work Song,1,1,"Look down, look down",Prisoners
Prologue: Work Song,1,1,They've all forgotten you,Prisoners
Prologue: Work Song,1,1,When I get free you won't see me,Prisoner 4
Prologue: Work Song,1,1,Here for dust,Prisoner 4
Prologue: Work Song,1,1,"Look down, look down",Prisoners
Prologue: Work Song,1,1,Don't look 'em in the eye,Prisoners
Prologue: Work Song,1,1,"How long, oh Lord",Prisoner 5
Prologue: Work Song,1,1,Before you let me die?,Prisoner 5
Prologue: Work Song,1,1,"Look down, look down",Prisoners
Prologue: Work Song,1,1,You'll always be a slave,Prisoners
Prologue: Work Song,1,1,"Look down, look down",Prisoners
Prologue: Work Song,1,1,You're standing in your grave,Prisoners
Prologue: Work Song,1,2,Now bring me Prisoner 24601,Javert
Prologue: Work Song,1,2,Your time is up,Javert
Prologue: Work Song,1,2,And your parole's begun,Javert
Prologue: Work Song,1,2,You know what that means,Javert
Prologue: Work Song,1,2,"Yes, it means I'm free",Valjean
Prologue: Work Song,1,2,No!,Javert
Prologue: Work Song,1,2,It means you get your yellow ticket-of-leave,Javert
Prologue: Work Song,1,2,You are a thief,Javert
Prologue: Work Song,1,2,I stole a loaf of bread,Valjean
Prologue: Work Song,1,2,You robbed a house!,Javert
Prologue: Work Song,1,2,I broke a window pane,Valjean
Prologue: Work Song,1,2,My sister's child was close to death,Valjean
Prologue: Work Song,1,2,And we were starving,Valjean
Prologue: Work Song,1,2,You will starve again,Javert
Prologue: Work Song,1,2,Unless you learn the meaning of the law,Javert
Prologue: Work Song,1,2,I know the meaning of those nineteen years,Valjean
Prologue: Work Song,1,2,A slave of the law,Valjean
Prologue: Work Song,1,2,Five years for what you did,Javert
Prologue: Work Song,1,2,The rest because you tried to run,Javert
Prologue: Work Song,1,2,"Yes, 24601",Javert
Prologue: Work Song,1,2,My name is Jean Valjean!,Valjean
Prologue: Work Song,1,2,And I'm Javert,Javert
Prologue: Work Song,1,2,Do not forget my name,Javert
Prologue: Work Song,1,2,"Do not forget me, 24601",Javert
Prologue: Work Song,1,1,"Look down, look down",Prisoners
Prologue: Work Song,1,1,You'll always be a slave,Prisoners
Prologue: Work Song,1,1,"Look down, look down",Prisoners
Prologue: Work Song,1,1,You're standing in your grave,Prisoners
Prologue: Work Song,1,1,"Aaah, aah, aaaahhhh",Prisoners
Prologue: On Parole,2,3,Freedom is mine,Valjean
Prologue: On Parole,2,3,The earth is still,Valjean
Prologue: On Parole,2,3,I feel the wind,Valjean
Prologue: On Parole,2,3,I breathe again,Valjean
Prologue: On Parole,2,3,And the skies clear,Valjean
Prologue: On Parole,2,3,The world is waking,Valjean
Prologue: On Parole,2,3,Drink from the pool,Valjean
Prologue: On Parole,2,3,How clean the taste,Valjean
Prologue: On Parole,2,3,"Never forget the years, the waste",Valjean
Prologue: On Parole,2,3,Nor forgive them,Valjean
Prologue: On Parole,2,3,For what they've done,Valjean
Prologue: On Parole,2,3,"They are the guilty, everyone",Valjean
Prologue: On Parole,2,3,The day begins,Valjean
Prologue: On Parole,2,3,And now let's see,Valjean
Prologue: On Parole,2,3,What this new world,Valjean
Prologue: On Parole,2,3,Will do for me,Valjean
Prologue: On Parole,2,4,You'll have to go,Farmer
Prologue: On Parole,2,4,I'll pay you off for the day,Farmer
Prologue: On Parole,2,4,Collect your bits and pieces there,Farmer
Prologue: On Parole,2,4,And be on your way,Farmer
Prologue: On Parole,2,4,You have given me half,Valjean
Prologue: On Parole,2,4,What the other men get,Valjean
Prologue: On Parole,2,4,This handful of tin,Valjean
Prologue: On Parole,2,4,Wouldn't buy my sweat,Valjean
Prologue: On Parole,2,4,You broke the law,Laborer
Prologue: On Parole,2,4,It's there for people to see,Laborer
Prologue: On Parole,2,4,Why should you get the same,Laborer
Prologue: On Parole,2,4,As honest men like me,Laborer
Prologue: On Parole,2,5,Now every door is closed to me,Valjean
Prologue: On Parole,2,5,"Another jail, another key, another chain",Valjean
Prologue: On Parole,2,5,For when I come to any town,Valjean
Prologue: On Parole,2,5,They check my papers,Valjean
Prologue: On Parole,2,5,And they find the mark of Cain,Valjean
Prologue: On Parole,2,5,"In their eyes, I see their fear",Valjean
Prologue: On Parole,2,5,"""We do not want you here""",Valjean
Prologue: On Parole,2,4,My rooms are full,Innkeepers Wife
Prologue: On Parole,2,4,And I've no supper to spare,Innkeepers Wife
Prologue: On Parole,2,4,I'd like to help a stranger,Innkeepers Wife
Prologue: On Parole,2,4,All we want is to be fair,Innkeepers Wife
Prologue: On Parole,2,4,I will pay in advance,Valjean
Prologue: On Parole,2,4,I can sleep in a barn,Valjean
Prologue: On Parole,2,4,You see how dark it is,Valjean
Prologue: On Parole,2,4,I'm not some kind of dog,Valjean
Prologue: On Parole,2,4,You leave my house!,Innkeeper
Prologue: On Parole,2,4,Or feel the weight of my rod,Innkeeper
Prologue: On Parole,2,4,We're law-abiding people here,Innkeeper
Prologue: On Parole,2,4,Thanks be to God,Innkeeper
Prologue: On Parole,2,5,And now I know how freedom feels,Valjean
Prologue: On Parole,2,5,The jailer always at your heels,Valjean
Prologue: On Parole,2,5,It is the law,Valjean
Prologue: On Parole,2,5,This piece of paper in my hand,Valjean
Prologue: On Parole,2,5,That makes me cursed throughout the land,Valjean
Prologue: On Parole,2,5,It is the law,Valjean
Prologue: On Parole,2,5,Like a cur,Valjean
Prologue: On Parole,2,5,I walk the street,Valjean
Prologue: On Parole,2,5,The dirt beneath their feet,Valjean
Prologue: Valjean Arrested,3,6,"Come in, Sir, for you are weary",Bishop
Prologue: Valjean Arrested,3,6,And the night is cold out there,Bishop
Prologue: Valjean Arrested,3,6,Though our lives are very humble,Bishop
Prologue: Valjean Arrested,3,6,"What we have, we have to share",Bishop
Prologue: Valjean Arrested,3,6,There is wine here to revive you,Bishop
Prologue: Valjean Arrested,3,6,There is bread to make you strong,Bishop
Prologue: Valjean Arrested,3,6,There's a bed to rest 'til morning,Bishop
Prologue: Valjean Arrested,3,6,"Rest from pain, and rest from wrong",Bishop
Prologue: Valjean Arrested,3,,"He let me eat my fill, I had the lion's share",Valjean
Prologue: Valjean Arrested,3,,"This silver in my hand, costs twice what I had earned",Valjean
Prologue: Valjean Arrested,3,,"In all those nineteen years, a lifetime of despair",Valjean
Prologue: Valjean Arrested,3,,And yet he trusted me,Valjean
Prologue: Valjean Arrested,3,,"The old fool trusted me, he'd done his bit of good",Valjean
Prologue: Valjean Arrested,3,,I played the grateful serf and thanked him like I should,Valjean
Prologue: Valjean Arrested,3,,"But when the house was still, I got up in the night",Valjean
Prologue: Valjean Arrested,3,,"Took the silver, took my flight!",Valjean
Prologue: Valjean Arrested,3,7,Tell his reverence your story,Constable 1
Prologue: Valjean Arrested,3,7,Let us see if he's impressed,Constable 2
Prologue: Valjean Arrested,3,7,You were lodging here last night,Constable 1
Prologue: Valjean Arrested,3,7,You were the honest Bishop's guest,Constable 2
Prologue: Valjean Arrested,3,7,And then out of Christian goodness,Constable 2
Prologue: Valjean Arrested,3,7,When he learned about your plight,Constable 2
Prologue: Valjean Arrested,3,7,You maintain he made a present of this silver,Constable 1
Prologue: Valjean Arrested,3,7,That is right,Bishop
Prologue: Valjean Arrested,3,8,"But my friend, you left so early",Bishop
Prologue: Valjean Arrested,3,8,Surely something slipped your mind,Bishop
Prologue: Valjean Arrested,3,8,You forgot I gave these also,Bishop
Prologue: Valjean Arrested,3,8,Would you leave the best behind?,Bishop
Prologue: Valjean Arrested,3,8,"So, M'sieur, you may release him",Bishop
Prologue: Valjean Arrested,3,8,For this man has spoken true,Bishop
Prologue: Valjean Arrested,3,8,I commend you for your duty,Bishop
Prologue: Valjean Arrested,3,8,And God's blessing go with you,Bishop
Prologue: Valjean Arrested,3,6,"But remember this, my brother",Bishop
Prologue: Valjean Arrested,3,6,See in this some higher plan,Bishop
Prologue: Valjean Arrested,3,6,You must use this precious silver,Bishop
Prologue: Valjean Arrested,3,6,To become an honest man,Bishop
Prologue: Valjean Arrested,3,6,By the witness of the martyrs,Bishop
Prologue: Valjean Arrested,3,6,By the Passion and the Blood,Bishop
Prologue: Valjean Arrested,3,6,God has raised you out of darkness,Bishop
